,delisted_symbols
0,FEMX
1,AX8
2,NES
3,SKN
4,WVOL
5,PIQ
6,PE1
7,BBL
8,AQZ
9,PMC
10,IBG
11,POD
12,AAC
13,AO1
14,MAQ
15,TGF
16,VGB
17,PTX
18,TAH
19,SXE
20,ABC
21,CL8
22,IS3
23,ZYUS
24,BKW
25,ORM
26,RF1
27,TMG
28,HT8
29,VGAD
30,E25
31,MPL
32,RINC
33,EX20
34,IPD
35,3PL
36,IHWL
37,CCX
38,S2R
39,EM2
40,ANL
41,VRS
42,HMD
43,DTZ
44,TIG
45,KAU
46,NDIA
47,HVST
48,GWR
49,ABA
50,RWC
51,AD8
52,IRE
53,WXOZ
54,IWLD
55,ZGL
56,SPK
57,PMGOLD
58,RHT
59,AFI
60,PKO
61,CCG
62,DJW
63,CVC
64,PCI
65,ETHI
66,ECT
67,IEU
68,WQG
69,OPH
70,BUX
71,EXL
72,WEMG
73,RMY
74,RBTZ
75,XF1
76,CD2
77,INCM
78,VBLD
79,14D
80,GNX
81,DHHF
82,EMV
83,KP2
84,MCA
85,HGH
86,IHHY
87,COH
88,AJQ
89,HPR
90,POW
91,KGN
92,ETPMPM
93,GDF
94,CI1
95,QRE
96,HBRD
97,AKG
98,CD3
99,NHF
100,TCO
101,PKD
102,GDI
103,CCA
104,5GN
105,IHVV
106,VN8
107,G1A
108,TLM
109,BSA
110,ERA
111,YMAX
112,MAD
113,CAJ
114,ADY
115,RFF
116,F100
117,SXL
118,TNE
119,MXT
120,DZZF
121,ST1
122,ATU
123,SI6
124,BEAR
125,CEN
126,MICH
127,YOW
128,ENT
129,MSG
130,BEE
131,QRI
132,BRI
133,QHAL
134,DEG
135,CCP
136,NVU
137,COB
138,JBH
139,K2F
140,GO2
141,VIF
142,INIF
143,VCF
144,TCL
145,SBW
146,IEC
147,88E
148,A4N
149,DXB
150,FUEL
151,MVB
152,APE
153,FFG
154,CCV
155,G88
156,SP3
157,NOR
158,EAX
159,SPQ
160,COG
161,HIT
162,GBND
163,A1M
164,AR9
165,AQD
166,QMIX
167,XRF
168,UOS
169,ADA
170,A2M
171,AUQ
172,KNM
173,KMD
174,GNC
175,GEAR
176,EIGA
177,CXO
178,ALY
179,VVLU
180,WBT
181,MTL
182,JCS
183,AXE
184,VRX
185,CLA
186,KLR
187,DBF
188,WDMF
189,MDR
190,DGGF
191,TSO
192,NZS
193,SGLLV
194,360
195,AT1
196,DBBF
197,OZR
198,VR1
199,4DS
200,HTA
201,FRX
202,WLE
203,AU1
204,IGB
205,EGR
206,RFT
207,ABX
208,M8S
209,VGE
210,CR1
211,CG1
212,ANO
213,HLS
214,RNE
215,ZYAU
216,D2O
217,RARI
218,N1H
219,EOF
220,MEA
221,AS1
222,BAS
223,VG1
224,SKC
225,AGX1
226,AZI
227,TOT
228,TTM
229,ETPMPD
230,MX1
231,IJP
232,ARU
233,PL8
234,MNRS
235,CLV
236,KTG
237,HAV
238,VUK
239,EMMG
240,AVH
241,GRNV
242,MKG
243,DNK
244,PO3
245,ATC
246,MGU
247,ETPMAG
248,MVOL
249,DRO
250,VDHG
251,AVL
252,ARA
253,SW1
254,IFT
255,DKM
256,HE8
257,SFR
258,QPON
259,TMX
260,IHOO
261,ISO
262,T3D
263,TMK
264,ACW
265,OSL
266,8IH
267,CST
268,AL3
269,IHCB
270,DJRE
271,AX1
272,CY5
273,BHD
274,PAXX
275,RDV
276,MGX
277,MGT
278,ARG
279,QOZ
280,ANN
281,WCMQ
282,DCX
283,STA
284,HM1
285,CSS
286,OCA
287,EMKT
288,STO
289,WBC
290,SDI
291,CRN
292,ASIA
293,MRR
294,MIL
295,BNKS
296,WNR
297,GC1
298,3DP
299,MAM
300,EOL
301,AFA
302,MOT
303,EDE
304,TIA
305,PPS
306,IKO
307,1AD
308,AKP
309,AUI
310,OSX
311,RAN
312,HEUR
313,3DA
314,ARD
315,ONE
316,ATH
317,AMI
318,ZEU
319,LIC
320,CXU
321,VAE
322,BC8
323,SLR
324,KOV
325,AVW
326,HGL
327,SGM
328,PIXX
329,RGL
330,PWH
331,RYD
332,RVS
333,AVJ
334,CT1
335,IAA
336,NC6
337,DSE
338,EMU
339,CYL
340,BKI
341,LVT
342,ACS
343,NGY
344,PTR
345,MTO
346,VKA
347,OFX
348,ZNC
349,IMPQ
350,LVH
351,RLG
352,CGR
353,NTI
354,LOV
355,JYC
356,8VI
357,R3D
358,ESK
359,IEM
360,RBR
361,SHL
362,WAM
363,SUBD
364,HZN
365,MRD
366,SPZ
367,1AG
368,LEX
369,AFP
370,GML
371,NCK
372,BLU
373,LSR
374,RTG
375,SVW
376,GLA
377,RLT
378,GMD
379,GOW
380,CTE
381,CEL
382,IPH
383,LGP
384,NCR
385,AQX
386,OKJ
387,VESG
388,NAM
389,PTL
390,RCE
391,IEL
392,MGL
393,A2B
394,S66
395,AHX
396,SHJ
397,CMW
398,BBOZ
399,ELT
400,ACQ
401,AC8
402,NAB
403,ECS
404,MOGL
405,QFN
406,AUDS
407,BMH
408,OZF
409,APC
410,8CO
411,AGVT
412,IXR
413,XST
414,RNT
415,MAU
416,QFE
417,VMS
418,ZLD
419,NWC
420,PME
421,S32
422,GGUS
423,JPR
424,CMD
425,KKC
426,NWM
427,ESTX
428,VYS
429,RMC
430,NXM
431,SWM
432,TD1
433,BOT
434,PEC
435,QAU
436,ARN
437,MHG
438,AL8
439,GNG
440,A3D
441,SYA
442,MQR
443,BRG
444,VDBA
445,AMA
446,MMR
447,RRL
448,JAT
449,RDS
450,LTR
451,A200
452,SGQ
453,MVW
454,UBI
455,WGX
456,LCY
457,GWA
458,VIP
459,CQR
460,POS
461,SOP
462,QGL
463,IIND
464,LHM
465,SM1
466,WKT
467,DDR
468,NAE
469,COI
470,SNS
471,HTG
472,VSO
473,MRL
474,MP1
475,AMO
476,KPG
477,LLO
478,CD1
479,SUL
480,IFM
481,CKF
482,RIE
483,XRO
484,A1G
485,VEQ
486,QBE
487,IRI
488,HVN
489,INF
490,PNV
491,RIC
492,LYL
493,QLTY
494,MQG
495,CAM
496,VAF
497,ATM
498,IMM
499,ANZ
500,PPE
501,TBR
502,KIN
503,TLX
504,AV1
505,CVL
506,LYC
507,NSB
508,GUD
509,BTH
510,IXU
511,RKN
512,ECG
513,IPL
514,SWTZ
515,CBY
516,CNEW
517,ATP
518,TWR
519,OEQ
520,VAR
521,RCT
522,CKA
523,XARO
524,DMP
525,AUMF
526,EBO
527,WTL
528,YANK
529,MDX
530,MCE
531,SSM
532,URF
533,SNC
534,BGP
535,SIS
536,RAC
537,VUL
538,MNS
539,TOE
540,CCE
541,FHS
542,LLC
543,IMC
544,PUA
545,IHEB
546,ETPMPT
547,ID8
548,NUC
549,RSH
550,BSE
551,SIQ
552,DXN
553,FAR
554,IOD
555,ISEC
556,ALU
557,IME
558,AD1
559,TEK
560,IVX
561,AWC
562,INES
563,TGP
564,VDGR
565,CE1
566,FAU
567,GLE
568,TEG
569,VEFI
570,WXHG
571,CHC
572,PIC
573,MNB
574,HJPN
575,SVL
576,WWG
577,INP
578,DMG
579,SRH
580,VCX
581,EUR
582,CNB
583,FSF
584,CAI
585,VGS
586,TTA
587,BEL
588,VDCO
589,AUH
590,LML
591,VACF
592,M7T
593,VR8
594,DRE
595,FPP
596,ELE
